//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]            [Level]   [Skill]   [Luck]    [JoL]     [Exc]     [Set]     [Socket]
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [00,000]    [0~15]      [0~255]      [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [InSec]    [*/N]       [*/N]          [*/0~150]         [*/0~150]         [*/0~3]        [0~1000000]
// ItemIndex   ItemLevel   Durability   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterIndex   MonsterMinLevel   MonsterMaxLevel   AccountLevel   ItemDropRate   Comment
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   12,015      0           0            *         *         *         *         *         *         *         0          *           *              12                150               *              1000           //Jewel of Chaos   
   12,070      0           0            *         *         *         *         *         *         *         0          *           *              58                76                *              1000           //Sphere (Mono)    
   12,071      0           0            *         *         *         *         *         *         *         0          *           *              77                101               *              1000           //Sphere (Di)
   12,072      0           0            *         *         *         *         *         *         *         0          *           *              102               121               *              1000           //Sphere (Tri)
   12,073      0           0            *         *         *         *         *         *         *         0          *           *              122               131               *              1000           //Sphere (Tetra)
   12,074      0           0            *         *         *         *         *         *         *         0          *           *              132               150               *              1000           //Sphere (Penta)
   13,014      0           0            *         *         *         *         *         *         *         0          10          *              25                150               *              1000           //Loch's Feather  
   13,014      1           0            *         *         *         *         *         *         *         0          10          *              25                150               *              1000           //Monarch's Crest 
   13,016      1           0            *         *         *         *         *         *         *         0          *           *              1                 32                *              1000           //Scroll of Archangel 1
   13,016      2           0            *         *         *         *         *         *         *         0          *           *              33                45                *              1000           //Scroll of Archangel 2
   13,016      3           0            *         *         *         *         *         *         *         0          *           *              46                57                *              1000           //Scroll of Archangel 3
   13,016      4           0            *         *         *         *         *         *         *         0          *           *              58                68                *              1000           //Scroll of Archangel 4
   13,016      5           0            *         *         *         *         *         *         *         0          *           *              69                76                *              1000           //Scroll of Archangel 5
