//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

// --------------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]        [Level]   [Skill]   [Luck]    [JoL]     [Exc]     [Set]     [Socket]
// --------------------------------------------------------------------------------------------------------------
// [00,000]    [0~1]                [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [*/N]
// ItemIndex   LuckyLevel   Decay   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Comment
// --------------------------------------------------------------------------------------------------------------
   07,062      0            2400    10        10        10        10        10        10        10        //Scale Helm
   07,063      0            2400    10        10        10        10        10        10        10        //Silk Helm
   07,064      0            2400    10        10        10        10        10        10        10        //Sphinx Helm
   07,065      0            2400    10        10        10        10        10        10        10        //Violent Wind Helm
   07,066      1            2400    10        10        10        10        10        10        10        //Dark Soul Helm
   07,067      1            2400    10        10        10        10        10        10        10        //Dragon Helm
   07,068      1            2400    10        10        10        10        10        10        10        //Guardian Helm
   07,069      1            2400    10        10        10        10        10        10        10        //Legendary Helm
   07,070      1            2400    10        10        10        10        10        10        10        //Red Wing Helm
   07,072      1            2400    10        10        10        10        10        10        10        //Storm Jahad Helm
   08,062      0            2400    10        10        10        10        10        10        10        //Scale Armor
   08,063      0            2400    10        10        10        10        10        10        10        //Silk Armor
   08,064      0            2400    10        10        10        10        10        10        10        //Sphinx Armor
   08,065      0            2400    10        10        10        10        10        10        10        //Violent Wind Armor
   08,066      1            2400    10        10        10        10        10        10        10        //Dark Soul Armor
   08,067      1            2400    10        10        10        10        10        10        10        //Dragon Armor
   08,068      1            2400    10        10        10        10        10        10        10        //Guardian Armor
   08,069      1            2400    10        10        10        10        10        10        10        //Legendary Armor
   08,070      1            2400    10        10        10        10        10        10        10        //Red Wing Armor
   08,071      1            2400    10        10        10        10        10        10        10        //Atlans Armor
   08,072      1            2400    10        10        10        10        10        10        10        //Storm Jahad Armor
   09,062      0            2400    10        10        10        10        10        10        10        //Scale Pants
   09,063      0            2400    10        10        10        10        10        10        10        //Silk Pants
   09,064      0            2400    10        10        10        10        10        10        10        //Sphinx Pants
   09,065      0            2400    10        10        10        10        10        10        10        //Violent Wind Pants
   09,066      1            2400    10        10        10        10        10        10        10        //Dark Soul Pants
   09,067      1            2400    10        10        10        10        10        10        10        //Dragon Pants
   09,068      1            2400    10        10        10        10        10        10        10        //Guardian Pants
   09,069      1            2400    10        10        10        10        10        10        10        //Legendary Pants
   09,070      1            2400    10        10        10        10        10        10        10        //Red Wing Pants
   09,071      1            2400    10        10        10        10        10        10        10        //Atlans Pants
   09,072      1            2400    10        10        10        10        10        10        10        //Storm Jahad Pants
   10,062      0            2400    10        10        10        10        10        10        10        //Scale Gloves
   10,063      0            2400    10        10        10        10        10        10        10        //Silk Gloves
   10,064      0            2400    10        10        10        10        10        10        10        //Sphinx Gloves
   10,065      0            2400    10        10        10        10        10        10        10        //Violent Wind Gloves
   10,066      1            2400    10        10        10        10        10        10        10        //Dark Soul Gloves
   10,067      1            2400    10        10        10        10        10        10        10        //Dragon Gloves
   10,068      1            2400    10        10        10        10        10        10        10        //Guardian Gloves
   10,069      1            2400    10        10        10        10        10        10        10        //Legendary Gloves
   10,070      1            2400    10        10        10        10        10        10        10        //Red Wing Gloves
   10,071      1            2400    10        10        10        10        10        10        10        //Atlans Gloves
   11,062      0            2400    10        10        10        10        10        10        10        //Scale Boots
   11,063      0            2400    10        10        10        10        10        10        10        //Silk Boots
   11,064      0            2400    10        10        10        10        10        10        10        //Sphinx Boots
   11,065      0            2400    10        10        10        10        10        10        10        //Violent Wind Boots
   11,066      1            2400    10        10        10        10        10        10        10        //Dark Soul Boots
   11,067      1            2400    10        10        10        10        10        10        10        //Dragon Boots
   11,068      1            2400    10        10        10        10        10        10        10        //Guardian Boots
   11,069      1            2400    10        10        10        10        10        10        10        //Legendary Boots
   11,070      1            2400    10        10        10        10        10        10        10        //Red Wing Boots
   11,071      1            2400    10        10        10        10        10        10        10        //Atlans Boots
   11,072      1            2400    10        10        10        10        10        10        10        //Storm Jahad Boots
end
