//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

// ---------------------------------------------------------------------------
// [00,000]    [0~85]     [Index]        [Index]        [0~10000]
// ItemIndex   StatType   OptionIndex1   OptionIndex2   ItemDropRate   Comment
// ---------------------------------------------------------------------------
   00,002      0          21             0              10000          //Rapier
   00,014      0          11             0              10000          //Lighting Sword
   00,032      0          37             38             10000          //Sacred Glove
   02,001      0          1              0              10000          //Morning Star
   04,005      1          29             0              10000          //Silver Bow
   04,009      1          23             0              10000          //Golden Crossbow
   05,000      2          13             0              10000          //Skull Staff
   06,000      3          2              0              10000          //Small Shield
   06,006      3          17             0              10000          //Skull Shield
   06,009      3          5              0              10000          //Plate Shield
   07,000      3          4              0              10000          //Bronze Helm
   07,001      3          11             12             10000          //Dragon Helm
   07,002      3          13             14             10000          //Pad Helm
   07,003      3          19             20             10000          //Legendary Helm
   07,004      3          16             0              10000          //Bone Helm
   07,005      3          1              2              10000          //Leather Helm
   07,006      3          5              6              10000          //Scale Helm
   07,007      3          17             0              10000          //Sphinx Mask
   07,008      3          8              0              10000          //Brass Helm
   07,009      3          10             0              10000          //Plate Helm
   07,010      3          21             22             10000          //Vine Helm
   07,011      3          23             0              10000          //Silk Helm
   07,012      3          25             0              10000          //Wind Helm
   07,013      3          28             0              10000          //Spirit Helm
   07,014      3          0              30             10000          //Guardian Helm
   07,026      3          33             0              10000          //Adamantine Mask
   07,040      3          35             36             10000          //Red Wing Helm
   07,059      3          37             0              10000          //Sacred Helm
   07,062      3          39             0              0              //Lucky Scale Helm
   07,063      3          40             0              0              //Lucky Silk Helm
   07,064      3          41             0              0              //Lucky Sphinx Helm
   07,065      3          42             0              0              //Lucky Violent Wind Helm
   07,066      3          43             0              0              //Lucky Dark Soul Helm
   07,067      3          44             0              0              //Lucky Dragon Helm
   07,068      3          45             0              0              //Lucky Guardian Helm
   07,069      3          46             0              0              //Lucky Legendary Helm
   07,070      3          47             0              0              //Lucky Red Wing Helm
   07,072      3          49             0              0              //Lucky Storm Hard Helm
   08,000      3          3              0              10000          //Bronze Armor
   08,001      3          0              12             10000          //Dragon Armor
   08,002      3          13             0              10000          //Pad Armor
   08,003      3          19             20             10000          //Legendary Armor
   08,004      3          15             16             10000          //Bone Armor
   08,005      3          1              0              10000          //Leather Armor
   08,006      3          5              6              10000          //Scale Armor
   08,007      3          17             18             10000          //Sphinx Armor
   08,008      3          7              0              10000          //Brass Armor
   08,009      3          9              10             10000          //Brass Armor
   08,010      3          22             0              10000          //Vine Armor
   08,011      3          23             0              10000          //Silk Armor
   08,012      3          25             0              10000          //Wind Armor
   08,013      3          27             0              10000          //Spirit Armor
   08,014      3          29             30             10000          //Guardian Armor
   08,015      3          31             32             10000          //Storm Crow Armor
   08,026      3          33             0              10000          //Adamantine Armor
   08,040      3          0              36             10000          //Red Wing Armor
   08,059      3          37             38             10000          //Sacred Armor
   08,062      3          39             0              0              //Lucky Scale Armor
   08,063      3          40             0              0              //Lucky Silk Armor
   08,064      3          41             0              0              //Lucky Sphinx Armor
   08,065      3          42             0              0              //Lucky Violent Wind Armor
   08,066      3          43             0              0              //Lucky Dark Soul Armor
   08,067      3          44             0              0              //Lucky Dragon Armor
   08,068      3          45             0              0              //Lucky Guardian Armor
   08,069      3          46             0              0              //Lucky Legendary Armor
   08,070      3          47             0              0              //Lucky Red Wing Armor
   08,071      3          48             0              0              //Lucky Atlans Armor
