//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

// -----------------------------------------------------------
// Index   Message
// -----------------------------------------------------------
   0       "Blood Castle will be closed after %d minute(s)"
   1       "Blood Castle is closed. Try again next time"
   2       "Blood Castle %d will start in %d minute(s)"
   3       "Blood Castle has started!"
   4       "Monsters eliminated!! Destroy the castle gates!"
   5       "Kundun's minions have been subdued! Destroy the crystal statue!"
   6       "Blood Castle has finished"
   7       "You're not strong enough to enter Blood Castle"
   8       "%s has dropped the Absolute Weapon of Archangel!"
   9       "%s has acquired the Absolute Weapon of Archangel!"
   10      "%s has demolished the castle gates!"
   11      "%s has demolished the crystal statue!"
   12      "Blood Castle has been successfully completed by %s!"
   16      "Chaos Castle will be closed after %d minute(s)"
   17      "Chaos Castle is closed. Try again next time"
   18      "Chaos Castle %d will start in %d minute(s)"
   19      "Chaos Castle has started!"
   20      "Chaos Castle has finished"
   21      "Not enough warriors to start the Chaos Castle!"
   22      "You're not strong enough to enter Chaos Castle"
   23      "Chaos Castle Survival will be closed after %d minute(s)"
   24      "Chaos Castle Survival is closed. Try again next time"
   25      "Chaos Castle Survival will start in %d minute(s)"
   26      "Chaos Castle Survival has started!"
   27      "Chaos Castle Survival has finished"
   28      "Not enough warriors to start the Chaos Castle Survival!"
   29      "You're not strong enough to enter Chaos Castle Survival"
   30      "Devil Square will close in %d minute(s)"
   31      "Devil Square is closed. Try again next time"
   32      "Devil Square %d will start in %d minute(s)"
   33      "Devil Square has started!"
   34      "Devil Square ended"
   35      "You're not strong enough to enter Devil Square"
   40      "Illusion Temple will close in %d minute(s)"
   41      "Illusion Temple is closed. Try again next time"
   42      "Illusion Temple %d will start in %d minute(s)"
   43      "Illusion Temple has started!"
   44      "Illusion Temple has finished!"
   45      "You're not strong enough to enter Illusion Temple"
   46      "You do not have the entrance ticket to enter Illusion Temple"
   47      "%s has acquired the artifact"
   48      "%s has dropped the artifact"
   49      "Not enough warriors to start Illusion Temple"
   50      "It is not yet time to enter the Illusion Temple"
   52      "Castle Deep will start in 5 minutes"
   53      "Castle Deep Invasion has started!"
   54      "Castle Deep Invasion has finished"
   55      "%s was killed by %s"
   60      "Will lead to tower of the refinement road after 1 hour again seal"
   61      "After 20 minutes will force to return the village security area"
   62      "Kanturu The Gateway Machine opens in 1 minute"
   63      "Kanturu Battle against Maya will start soon, get ready"
   64      "Kanturu Next battle will start in 1 minute"
   65      "Defeat the Nightmare that controls the Maya to gain entrance to the Refinery"
   66      "Has defeated the Nightmare Boss. You may now proceed to the Refinery Tower"
   67      "Because will limit the time crossed, will force to return the ridge security area"
   70      "Balgass has join forces with Kundun's army and preparing to attack Crywolf Fortress"
   71      "The army of Balgass is ready to attack Crywolf Fortress"
   72      "The army of Balgass is marching towards Crywolf Fortress"
   73      "The army of Balgass is approaching towards Crywolf Fortress"
   74      "Without the protection of the Muses, the statue of holy wolf will be stolen"
   75      "Balgass will be alive till the end of the battle"
   76      "Defending has failed! The statue of holy wolf has been taken over by Balgass"
   77      "Defending has been successful! The statue of holy wolf has been protected"
   78      "Wolf Altar contraction starts in %d second(s)"
   79      "Wolf Altar contraction begins in %d minute(s)"
   80      "Balgass's army will begin attack in %d second(s)"
   81      "Balgass's army will attack in %d minute(s)"
   82      "Without protection of elven statue of holy wolf was unprotected"
   83      "Balgass is coming! Protect the statue of holy wolf"
   84      "Balgass's army starts attacking the statue of holy wolf"
   85      "Balgass has been defeated with the help of heroes"
   86      "MvP rank: (%d)"
   87      "MvP rank: experience points (%d)"
   88      "Balgass has been killed by %s!"
   89      "Balgass is dead!"
