//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

4
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   060            30            136         092         *
   060            30            125         082         *
   060            30            136         102         *
   060            30            132         087         *
   060            30            127         083         *
   060            30            147         087         *
   060            30            129         096         *
   060            30            140         098         *
   060            30            135         109         *
   060            30            147         102         *
   060            30            128         089         *
   060            30            145         098         *
   060            30            149         097         *
   060            30            135         095         *
   060            30            129         103         *
   060            30            149         101         *
   060            30            131         109         *
   060            30            123         086         *
   060            30            130         090         *
   060            30            122         100         *
   062            30            146         096         *
   062            30            130         105         *
   062            30            148         094         *
   062            30            134         087         *
   062            30            142         104         *
   062            30            145         102         *
   062            30            144         109         *
   062            30            128         085         *
   062            30            142         097         *
   062            30            136         094         *
   062            30            143         103         *
   062            30            129         097         *
   062            30            129         084         *
   062            30            135         095         *
   062            30            122         084         *
   062            30            140         100         *
   062            30            142         108         *
   062            30            146         091         *
   062            30            146         085         *
   062            30            146         100         *
   057            30            149         108         *
   057            30            149         090         *
   057            30            133         103         *
   057            30            130         102         *
   057            30            144         086         *
   057            30            141         104         *
   057            30            147         106         *
   057            30            135         105         *
   057            30            135         106         *
   057            30            125         109         *
   057            30            142         083         *
   057            30            137         085         *
   057            30            132         098         *
   057            30            122         083         *
   057            30            139         107         *
   058            30            143         109         *
   058            30            144         088         *
   058            30            147         096         *
   058            30            147         101         *
   058            30            140         082         *
   058            30            140         099         *
   058            30            138         105         *
   058            30            135         108         *
   058            30            129         109         *
   058            30            140         090         *
   058            30            149         096         *
   058            30            128         092         *
   058            30            145         097         *
   058            30            128         095         *
   058            30            122         107         *
   292            30            131         096         *
   292            30            138         090         *
   292            30            138         093         *
   292            30            132         094         *
   292            30            134         102         *
   292            30            125         091         *
   292            30            142         082         *
   292            30            143         105         *
   292            30            133         086         *
   292            30            137         090         *
   293            30            122         082         *
   293            30            124         100         *
   293            30            142         094         *
   293            30            125         090         *
   293            30            138         090         *
