//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   369            0             78          13          2
   370            0             86          13          1
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   307            30            168         82          *
   307            30            166         73          *
   307            30            234         36          *
   306            30            215         32          *
   306            30            217         36          *
   308            30            213         38          *
   308            30            216         38          *
   306            30            214         35          *
   304            30            106         49          *
   304            30            120         97          *
   304            30            125         82          *
   304            30            137         125         *
   304            30            141         76          *
   305            30            81          80          *
   305            30            83          121         *
   305            30            88          62          *
   305            30            92          45          *
   305            30            92          86          *
   305            30            94          158         *
   305            30            94          158         *
   305            30            95          150         *
   305            30            102         175         *
   305            30            104         42          *
   305            30            104         160         *
   305            30            111         94          *
   305            30            113         155         *
   305            30            114         67          *
   305            30            125         112         *
   305            30            126         73          *
   305            30            131         94          *
   305            30            133         79          *
   305            30            133         133         *
   305            30            134         106         *
   305            30            136         66          *
   305            30            146         72          *
   305            30            148         93          *
   305            30            157         166         *
   305            30            167         127         *
   305            30            168         140         *
   305            30            168         168         *
   305            30            169         174         *
   305            30            180         40          *
   305            30            185         147         *
   305            30            194         19          *
   305            30            197         148         *
   305            30            208         168         *
   305            30            235         101         *
   306            30            85          145         *
   306            30            88          126         *
   306            30            89          109         *
   306            30            93          173         *
   306            30            100         58          *
   306            30            119         56          *
   306            30            126         156         *
   306            30            126         156         *
   306            30            136         144         *
   306            30            145         87          *
   306            30            149         112         *
   306            30            161         117         *
   306            30            167         152         *
   306            30            176         124         *
   306            30            186         89          *
   306            30            189         179         *
   306            30            190         144         *
   306            30            191         138         *
   306            30            207         54          *
   306            30            209         75          *
   306            30            221         60          *
   306            30            223         158         *
   306            30            227         52          *
   306            30            230         12          *
   306            30            233         61          *
   306            30            234         71          *
