//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   367            0             141         191         2
   106            0             141         155         8
   106            0             138         166         8
   106            0             141         166         8
   106            0             144         166         8
   106            0             138         171         8
   106            0             141         171         8
   106            0             144         171         8
   106            0             138         177         8
   106            0             141         177         8
   106            0             144         177         8
   106            0             138         183         8
   106            0             141         183         8
   106            0             144         183         8
   105            0             97          96          8
   105            0             97          78          8
   105            0             122         74          8
   105            0             136         70          8
   105            0             152         78          8
   105            0             177         89          8
   105            0             186         105         8
   105            0             201         134         8
   105            0             150         152         8
   105            0             138         152         8
   105            0             107         153         8
   105            0             111         153         8
   105            0             123         79          8
   105            0             137         104         8
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   359            30            159         98          *
   359            30            100         97          *
   359            30            99          85          *
   359            30            125         74          *
   359            30            113         96          *
   359            30            111         79          *
   359            30            123         88          *
   358            30            140         76          *
   359            30            139         99          *
   359            30            178         92          *
   359            30            198         121         *
   359            30            197         136         *
   359            30            126         98          *
   359            30            135         88          *
   359            30            117         135         *
   358            30            106         159         *
   360            30            110         140         *
   359            30            101         139         *
   359            30            149         85          *
   359            30            153         78          *
   359            30            151         160         *
   359            30            179         139         *
   359            30            187         145         *
   358            30            97          78          *
   358            30            124         69          *
   358            30            138         67          *
   358            30            183         86          *
   358            30            175         104         *
   359            30            168         94          *
   360            30            122         127         *
   358            30            111         159         *
   358            30            105         133         *
   358            30            119         126         *
   358            30            135         150         *
   358            30            177         129         *
   358            30            193         146         *
   358            30            195         105         *
   358            30            163         82          *
   358            30            132         97          *
   358            30            158         137         *
   358            30            171         141         *
   358            30            147         148         *
   358            30            152         120         *
   359            30            199         131         *
   359            30            195         115         *
   358            30            102         78          *
   358            30            128         69          *
   358            30            156         120         *
   358            30            127         135         *
   360            30            140         162         *
   360            30            176         117         *
   360            30            162         129         *
   360            30            167         129         *
   360            30            137         142         *
   360            30            150         151         *
   358            30            106         154         *
   358            30            111         154         *
   360            30            163         148         *
   360            30            177         150         *
   358            30            108         148         *
   360            30            152         110         *
   360            30            164         112         *
   359            30            185         97          *
end
