//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   106            30            60          108         8
   106            30            173         61          8
   106            30            173         64          8
   106            30            173         67          8
   106            30            173         70          8
   106            30            173         73          8
   106            30            173         76          8
   106            30            173         79          8
   106            30            179         89          8
   106            30            176         86          8
   106            30            173         82          8
   106            30            201         94          8
   106            30            204         92          8
   106            30            207         91          8
   106            30            210         89          8
   106            30            212         88          8
   106            30            215         86          8
   106            30            217         84          8
   106            30            218         81          8
   106            30            218         78          8
   106            30            218         73          8
   106            30            218         70          8
   106            30            218         67          8
   106            30            218         64          8
   106            30            217         60          8
   106            30            214         57          8
   106            30            211         54          8
   106            30            208         54          8
   106            30            205         54          8
   106            30            201         54          8
   106            30            198         54          8
   106            30            193         54          8
   106            30            190         54          8
   106            30            185         54          8
   106            30            182         54          8
   106            30            178         56          8
   106            30            176         58          8
   106            30            174         59          8
   368            0             77          177         2
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
end

5
// ---------------------------------------------------------------------------
// [0~6]                       [0~30]        [1~255]     [1~255]     [*/0~8]
// EventGroup   MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// ---------------------------------------------------------------------------
   0            364            0             188         110         *
   0            354            30            176         66          *
   0            354            30            176         69          *
   0            354            30            176         72          *
   0            354            30            179         67          *
   0            354            30            179         71          *
   0            354            30            211         65          *
   0            354            30            211         68          *
   0            354            30            211         71          *
   0            354            30            213         67          *
   0            354            30            213         70          *
   0            354            30            196         73          *
   0            354            30            199         73          *
   0            354            30            202         73          *
   0            354            30            190         72          *
   0            354            30            187         72          *
   0            354            30            203         68          *
   0            354            30            200         84          *
   0            354            30            203         84          *
   0            354            30            181         81          *
   0            354            30            184         81          *
   0            354            30            191         60          *
   0            354            30            179         79          *
   0            354            30            182         79          *
   0            354            30            185         79          *
   0            354            30            199         81          *
   0            354            30            202         81          *
   0            354            30            196         84          *
   0            354            30            196         60          *
   0            354            30            186         60          *
   0            354            30            191         67          *
   0            360            30            177         60          *
   0            360            30            177         60          *
   0            360            30            193         83          *
   0            360            30            191         83          *
   0            360            30            207         86          *
   0            360            30            214         78          *
   0            360            30            209         59          *
   0            360            30            193         67          *
   0            360            30            189         67          *
   0            360            30            189         83          *
   1            364            0             188         110         *
   1            359            30            178         60          *
   1            359            30            178         64          *
   1            359            30            177         80          *
   1            359            30            179         83          *
   1            359            30            179         83          *
   1            359            30            179         83          *
   1            359            30            214         78          *
   1            359            30            214         75          *
   1            359            30            213         65          *
   1            359            30            210         62          *
   1            359            30            187         72          *
   1            359            30            195         72          *
   1            360            30            176         72          *
   1            360            30            189         84          *
   1            360            30            197         84          *
   1            360            30            192         81          *
   1            360            30            213         70          *
   1            360            30            203         72          *
   1            360            30            192         58          *
   1            360            30            200         58          *
   2            360            30            78          115         *
   2            360            30            80          100         *
   2            360            30            79          127         *
   2            360            30            81          127         *
   2            358            30            76          136         *
   2            358            30            80          136         *
   2            358            30            86          127         *
   2            358            30            87          114         *
   2            357            30            78          98          *
   2            357            30            84          99          *
   2            357            30            75          111         *
   2            357            30            78          111         *
   2            357            30            81          111         *
   2            357            30            84          111         *
   2            357            30            79          122         *
   3            364            0             188         110         *
   4            364            0             188         110         *
   5            364            0             188         110         *
   6            360            30            75          111         *
   6            360            30            82          111         *
   6            360            30            79          115         *
   6            360            30            77          133         *
   6            360            30            81          133         *
   6            360            30            79          128         *
   6            360            30            77          121         *
end
