//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   232            0             10          9           1
end

4
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   429            30            13          45          7
   432            30            13          78          7
   430            30            15          46          7
   432            30            14          83          7
   432            30            14          78          7
   430            30            15          63          7
   431            30            13          69          7
   428            30            14          34          7
   430            30            15          53          7
   429            30            13          23          7
   429            30            15          43          7
   428            30            14          38          7
   430            30            13          65          7
   432            30            15          78          7
   430            30            13          67          7
   431            30            14          61          7
   432            30            16          80          7
   430            30            15          59          7
   430            30            13          59          7
   430            30            15          55          7
   429            30            15          39          7
   428            30            13          35          7
   430            30            13          62          7
   431            30            13          55          7
   429            30            15          37          7
   428            30            13          28          7
   429            30            13          29          7
   429            30            15          28          7
   429            30            13          25          7
   429            30            13          21          7
   429            30            14          22          7
   429            30            15          21          7
   429            30            13          31          7
   429            30            15          30          7
   429            30            15          33          7
   431            30            14          58          7
   428            30            15          35          7
   428            30            14          33          7
   428            30            15          41          7
   428            30            14          42          7
   429            30            14          21          7
   428            30            15          25          7
   428            30            15          23          7
   428            30            13          26          7
   430            30            13          41          7
   430            30            15          69          7
   428            30            13          37          7
   429            30            13          43          7
   430            30            13          50          7
   430            30            15          48          7
   430            30            13          46          7
   432            30            15          62          7
   431            30            14          52          7
   431            30            15          50          7
   431            30            15          66          7
   432            30            17          83          7
   432            30            14          90          7
   432            30            11          83          7
   432            30            15          94          7
   428            30            14          40          7
   428            30            13          39          7
   432            30            20          82          7
   432            30            20          88          7
   428            30            14          27          7
   428            30            14          24          7
   428            30            14          32          7
   430            30            14          44          7
   430            30            15          51          7
   430            30            14          49          7
   431            30            14          56          7
   430            30            15          57          7
   430            30            14          64          7
   430            30            14          67          7
   431            30            14          70          7
   430            30            13          53          7
   428            30            15          45          7
   432            30            14          54          7
   432            30            14          36          7
   432            30            15          68          7
   431            30            13          48          7
   432            30            14          47          7
   431            30            13          63          7
   430            30            15          65          7
   430            30            15          60          7
   430            30            13          57          7
   428            30            15          31          7
   429            30            15          26          7
   433            30            16          87          7
   433            30            12          81          7
   433            30            13          88          7
   433            30            13          85          7
   433            30            19          85          7
   433            30            13          93          7
   433            30            14          80          7
   433            30            18          81          7
end
