//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

//----------------------------------------------------------------------------------------------------------------------------------------
//Index   MonsterClass   CurrentState   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   DW   DK   FE   MG   DL   SU   RF
//----------------------------------------------------------------------------------------------------------------------------------------
0         235            3              *              *              150               *                 1    1    1    0    0    1    0
1         235            3              0              2              150               *                 1    1    1    0    0    1    0
2         229            3              1              2              220               *                 2    2    2    0    0    2    0
3         229            3              2              2              220               *                 0    2    0    0    0    0    0
4         406            3              2              2              380               *                 2    0    2    0    0    2    0
4         406            3              3              2              380               *                 0    2    0    0    0    0    0
4         406            3              *              *              380               *                 0    0    0    1    1    0    1
5         406            3              4              2              *                 *                 2    2    2    1    1    2    1
6         406            3              5              2              *                 *                 2    2    2    1    1    2    1
0         235            0              *              *              150               *                 1    1    1    0    0    1    0
1         235            0              0              2              150               *                 1    1    1    0    0    1    0
2         229            0              1              2              220               *                 2    2    2    0    0    2    0
3         229            0              2              2              220               *                 0    2    0    0    0    0    0
4         406            0              2              2              380               *                 2    0    2    0    0    2    0
4         406            0              3              2              380               *                 0    2    0    0    0    0    0
4         406            0              *              *              380               *                 0    0    0    1    1    0    1
5         406            0              4              2              *                 *                 2    2    2    1    1    2    1
6         406            0              5              2              *                 *                 2    2    2    1    1    2    1
0         235            1              *              *              150               *                 1    1    1    0    0    1    0
1         235            1              0              2              150               *                 1    1    1    0    0    1    0
2         229            1              1              2              220               *                 2    2    2    0    0    2    0
3         229            1              2              2              220               *                 0    2    0    0    0    0    0
4         406            1              2              2              380               *                 2    0    2    0    0    2    0
4         406            1              3              2              380               *                 0    2    0    0    0    0    0
4         406            1              *              *              380               *                 0    0    0    1    1    0    1
5         406            1              4              2              *                 *                 2    2    2    1    1    2    1
6         406            1              5              2              *                 *                 2    2    2    1    1    2    1
6         406            2              5              2              *                 *                 2    2    2    1    1    2    1
5         406            2              4              2              *                 *                 2    2    2    1    1    2    1
4         406            2              2              2              380               *                 2    0    2    0    0    2    0
4         406            2              3              2              380               *                 0    2    0    0    0    0    0
4         406            2              *              *              380               *                 0    0    0    1    1    0    1
3         229            2              2              2              220               *                 0    2    0    0    0    0    0
2         229            2              1              2              220               *                 2    2    2    0    0    2    0
1         235            2              0              2              150               *                 1    1    1    0    0    1    0
0         235            2              *              *              150               *                 1    1    1    0    0    1    0
end
