//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

0
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//Index   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextIndex2   NextIndex3   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   RequireMinReset   RequireMaxReset   RequireFamily   RequireDoW   RequireCDW   DW   DK   FE   MG   DL   SU   RF
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0         0        1           257            0              1            *            *            *              *              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
0         0        1           257            0              1            *            *            0              0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
1         0        *           257            0              2            3            *            1              0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
2         0        *           257            1              *            *            *            2              1              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
3         0        *           257            0              4            2            *            3              0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
4         0        *           257            1              *            *            *            4              1              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
5         1        0           257            0              6            9            *            2              3              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
5         1        0           257            0              6            9            *            4              3              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
5         1        0           257            0              6            9            *            5              0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
6         1        0           257            0              7            *            *            6              0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
7         1        0           257            0              8            *            *            7              0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
8         1        0           257            0              9            *            *            8              0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
9         1        0           257            1              *            *            *            9              1              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
10        2        0           257            0              11           15           *            9              3              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
10        2        0           257            0              11           15           *            10             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
11        2        0           257            0              12           13           14           11             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
12        2        0           257            0              13           14           15           12             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
13        2        0           257            0              12           14           15           13             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
14        2        0           257            0              12           13           15           14             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
15        2        0           257            1              *            *            *            15             1              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
16        3        0           257            0              17           *            *            15             3              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
16        3        0           257            0              17           *            *            16             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
17        3        0           257            0              20           18           *            17             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
18        3        0           257            0              19           *            *            18             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
19        3        0           257            0              17           *            *            19             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
20        3        0           257            1              *            *            *            20             1              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
21        4        0           257            0              22           *            *            20             3              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
21        4        0           257            0              22           *            *            21             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
22        4        0           257            0              23           21           *            22             0              *                 *                 *                 *                 *               *            *            0    0    1    0    0    0    0
22        4        0           257            0              24           21           *            22             0              *                 *                 *                 *                 *               *            *            1    1    0    0    0    0    0
22        4        0           257            0              25           21           *            22             0              *                 *                 *                 *                 *               *            *            0    0    0    0    0    1    0
23        4        0           257            1              *            *            *            23             1              *                 *                 *                 *                 *               *            *            0    0    1    0    0    0    0
24        4        0           257            1              *            *            *            24             1              *                 *                 *                 *                 *               *            *            1    1    0    0    0    0    0
25        4        0           257            1              *            *            *            25             1              *                 *                 *                 *                 *               *            *            0    0    0    0    0    1    0
26        5        0           257            0              27           32           *            23             3              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
26        5        0           257            0              27           32           *            24             3              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
26        5        0           257            0              27           32           *            25             3              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
26        5        0           257            0              27           32           *            26             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
27        5        0           257            0              28           32           *            27             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
28        5        0           257            0              29           *            *            28             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
29        5        0           257            1              *            *            *            29             1              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
30        6        0           257            0              31           *            *            29             3              1                 50                *                 *                 *               *            *            1    1    1    0    0    1    0
30        6        0           257            0              31           *            *            30             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
31        6        0           257            1              *            *            *            31             1              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
32        7        0           257            0              33           *            *            31             3              1                 50                *                 *                 *               *            *            0    0    1    0    0    0    0
32        7        0           257            0              33           *            *            32             0              *                 *                 *                 *                 *               *            *            0    0    1    0    0    0    0
32        7        0           257            0              34           *            *            31             3              1                 50                *                 *                 *               *            *            1    1    0    0    0    0    0
32        7        0           257            0              34           *            *            32             0              *                 *                 *                 *                 *               *            *            1    1    0    0    0    0    0
32        7        0           257            0              35           *            *            31             3              1                 50                *                 *                 *               *            *            0    0    0    0    0    1    0
32        7        0           257            0              35           *            *            32             0              *                 *                 *                 *                 *               *            *            0    0    0    0    0    1    0
33        7        0           257            1              *            *            *            33             1              *                 *                 *                 *                 *               *            *            0    0    1    0    0    0    0
